sort_mode,title,type,release_year,runtime,description,imdb_rating,imdb_votes,tmdb_rating,tmdb_popularity,jw_rating,genre
POPULAR,Teach You a Lesson,SHOW,2026,64,"When respect collapses in schools, unconventional inspectors arrive to set things right — with sharp, no-nonsense lessons you won't find in textbooks.",,,10.0,4.3733,0.776164779424,Action_Adventure
POPULAR,Dhurandhar The Revenge,MOVIE,2026,230,"Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betrayal, and survival in a ruthless underworld.",8.7,18652.0,7.3,120.6065,0.691934637941,"Action_Adventure, Crime, Mystery_Thriller"
POPULAR,The WONDERfools,SHOW,2026,70,"A goofy group of townies stumbles into superpowers and fights rising evil as doomsday panic grows in this wild, turn-of-the-century action comedy.",,,9.05,71.1745,0.717127216456,"Action_Adventure, Science_Fiction"
POPULAR,365 dni,MOVIE,2020,114,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.3,107998.0,6.992,16.0001,0.565439898883,"Crime, Made_in_Europe, Romance"
POPULAR,Stranger Things,SHOW,2016,64,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",8.6,1683496.0,8.566,146.6415,0.934671544573,"Drama, Fantasy, Horror, Mystery_Thriller, Science_Fiction"
POPULAR,Bhooth Bangla,MOVIE,2026,163,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",,,5.4,378.8864,0.354372917852,Horror
POPULAR,Money Heist,SHOW,2017,54,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",8.2,601992.0,8.231,40.5486,0.925236753247,"Action_Adventure, Crime, Drama, Made_in_Europe, Mystery_Thriller"
POPULAR,Obsession,SHOW,2023,39,"William falls in love with his soon-to-be daughter in law, Anna who's trying to keep both relationships but the truth always comes to light and someone is going to be hurt.",5.2,11447.0,6.47,4.504,0.648341626239,"Mystery_Thriller, Romance"
POPULAR,Dhurandhar,MOVIE,2025,214,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",8.3,124769.0,7.247,63.0691,0.678001292485,"Action_Adventure, Crime, Drama, Mystery_Thriller"
POPULAR,Jujutsu Kaisen,SHOW,2020,24,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,8.5,194081.0,8.568,144.8701,0.893840140897,"Action_Adventure, Animation, Fantasy, Mystery_Thriller, Science_Fiction"
POPULAR,Classroom of the Elite,SHOW,2017,23,"Kiyotaka Ayanokouji enrolls at the prestigious Tokyo Koudo Ikusei Academy, but is assigned to Class 1-D, where students with behavioral problems are housed. The school awards points equivalent to 100,000 yen per month and allows unusual freedom in classes, masking a more complex system.",7.7,22476.0,8.4,62.9458,0.858025994099,"Animation, Drama, Mystery_Thriller"
